W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W
W  W  W  W  W  N  N  W  W  W  W  W  W  W  W  W  W  W  W  N  N  N  N  W  W  N  N  W  W  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  W  N  N  N  N  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  W  W  N  N  W  W  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  W
W  E  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  W  N  N  N  N  N  N  N  N  N  N  W
W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W
