W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  W  W  W  W  W  W  W  W  W  W  N  N  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  N  N  W  W  W  W  
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  W  W  W  W  W  W  W  N  N  W  W  W  W  W  W  W  W  W  W  W  W  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  W  N  N  W  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  W  N  N  W  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  E  W
W  N  N  N  N  N  N  W  N  N  W  N  N  N  N  N  N  N  N  N  N  W  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  W
W  W  W  N  N  W  W  W  N  N  W  W  W  W  N  N  W  W  W  W  W  W  N  N  N  N  N  W  W  W  W  W  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  N  W
W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W
